,10059,49.305,2.429,100.612,25.66,-999,-999,-999,18.817,-999,-999,-999,9486.74805,37.26108,38.55045,52.79591,-999,-999,-999,-999
,10059.5,49.306,2.422,100.612,24.14,-999,-999,-999,18.919,-999,-999,-999,9487.21973,37.38092,38.66696,52.95951,-999,-999,-999,-999
,10060,50.882,2.425,101.926,23.56,-999,-999,-999,18.665,-999,-999,-999,9487.69043,37.5008,38.78342,53.1231,-999,-999,-999,-999
,10060.5,52.459,2.409,102.975,24.06,-999,-999,-999,18.665,-999,-999,-999,9488.16211,37.6207,38.89985,53.28667,-999,-999,-999,-999
,10061,52.46,2.389,102.975,25.9,-999,-999,-999,18.665,-999,-999,-999,9488.63281,37.74062,39.01624,53.45021,-999,-999,-999,-999
,10061.5,52.461,2.382,102.187,28.4,-999,-999,-999,18.665,-999,-999,-999,9489.10449,37.86056,39.13259,53.61375,-999,-999,-999,-999
,10062,52.462,2.381,100.612,30.28,-999,-999,-999,18.614,-999,-999,-999,9489.57617,37.98053,39.2489,53.77726,-999,-999,-999,-999
,10062.5,52.464,2.41,100.612,32,-999,-999,-999,18.665,-999,-999,-999,9490.04688,38.10051,39.36517,53.94075,-999,-999,-999,-999
,10063,50.89,2.382,101.4,32.24,-999,-999,-999,18.665,-999,-999,-999,9490.51855,38.22053,39.48141,54.10422,-999,-999,-999,-999
,10063.5,49.317,2.369,102.187,30.56,-999,-999,-999,18.614,-999,-999,-999,9490.98926,38.34056,39.59761,54.26767,-999,-999,-999,-999
,10064,48.055,2.359,102.975,28.54,-999,-999,-999,18.563,-999,-999,-999,9491.46094,38.46062,39.71376,54.43111,-999,-999,-999,-999
,10064.5,46.17,2.389,108.487,26.52,-999,-999,-999,18.665,-999,-999,-999,9491.93164,38.5807,39.82988,54.59452,-999,-999,-999,-999
,10065,45.383,2.426,107.7,24.88,-999,-999,-999,18.462,-999,-999,-999,9492.40332,38.70081,39.94596,54.75792,-999,-999,-999,-999
,10065.5,45.385,2.433,105.561,24.28,-999,-999,-999,18.36,-999,-999,-999,9492.875,38.82094,40.062,54.9213,-999,-999,-999,-999
,10066,45.386,2.418,102.187,26.16,-999,-999,-999,18.309,-999,-999,-999,9493.3457,38.94109,40.178,55.08465,-999,-999,-999,-999
,10066.5,45.387,2.401,99.037,28.8,-999,-999,-999,18.258,-999,-999,-999,9493.81738,39.06126,40.29396,55.24799,-999,-999,-999,-999
,10067,46.176,2.407,99.825,30.24,-999,-999,-999,18.258,-999,-999,-999,9494.28809,39.18146,40.40989,55.41132,-999,-999,-999,-999
,10067.5,46.868,2.423,101.166,29.96,-999,-999,-999,18.462,-999,-999,-999,9494.75977,39.30168,40.52578,55.57461,-999,-999,-999,-999
,10068,48.542,2.413,102.187,29.64,-999,-999,-999,18.868,-999,-999,-999,9495.23145,39.42192,40.64162,55.73789,-999,-999,-999,-999
,10068.5,49.33,2.416,102.975,31.34,-999,-999,-999,18.055,-999,-999,-999,9495.70215,39.54219,40.75743,55.90116,-999,-999,-999,-999
,10069,48.544,2.437,102.975,31.94,-999,-999,-999,18.004,-999,-999,-999,9496.17383,39.66248,40.8732,56.0644,-999,-999,-999,-999
